GEO_ID,NAME,DP05_0033E
36005036502,"Census Tract 365.02, Bronx County, New York",2328
36005036700,"Census Tract 367, Bronx County, New York",2440
36005036800,"Census Tract 368, Bronx County, New York",1988
36005036901,"Census Tract 369.01, Bronx County, New York",2289
36005036902,"Census Tract 369.02, Bronx County, New York",2156
36005037000,"Census Tract 370, Bronx County, New York",2528
36005037100,"Census Tract 371, Bronx County, New York",4322
36005037200,"Census Tract 372, Bronx County, New York",2279
36005037300,"Census Tract 373, Bronx County, New York",5908
36005037400,"Census Tract 374, Bronx County, New York",3838
36005037504,"Census Tract 375.04, Bronx County, New York",3409
36005037600,"Census Tract 376, Bronx County, New York",2319
36005037800,"Census Tract 378, Bronx County, New York",3033
36005037900,"Census Tract 379, Bronx County, New York",5268
36005038000,"Census Tract 380, Bronx County, New York",5378
36005038100,"Census Tract 381, Bronx County, New York",6909
36005038200,"Census Tract 382, Bronx County, New York",2943
36005038301,"Census Tract 383.01, Bronx County, New York",4882
36005038302,"Census Tract 383.02, Bronx County, New York",6127
36005038500,"Census Tract 385, Bronx County, New York",4757
36005038600,"Census Tract 386, Bronx County, New York",8737
36005038700,"Census Tract 387, Bronx County, New York",3622
36005038800,"Census Tract 388, Bronx County, New York",2780
36005038900,"Census Tract 389, Bronx County, New York",5453
36005039000,"Census Tract 390, Bronx County, New York",2766
36005039100,"Census Tract 391, Bronx County, New York",7438
36005039200,"Census Tract 392, Bronx County, New York",1655
36005039300,"Census Tract 393, Bronx County, New York",8721
36005039400,"Census Tract 394, Bronx County, New York",5308
36005039500,"Census Tract 395, Bronx County, New York",4228
36005039600,"Census Tract 396, Bronx County, New York",4741
36005039700,"Census Tract 397, Bronx County, New York",3881
36005039800,"Census Tract 398, Bronx County, New York",3587
36005039901,"Census Tract 399.01, Bronx County, New York",5615
36005039902,"Census Tract 399.02, Bronx County, New York",5346
36005040100,"Census Tract 401, Bronx County, New York",4610
36005040302,"Census Tract 403.02, Bronx County, New York",4300
36005040303,"Census Tract 403.03, Bronx County, New York",5102
36005040304,"Census Tract 403.04, Bronx County, New York",3903
36005040400,"Census Tract 404, Bronx County, New York",3370
36005040501,"Census Tract 405.01, Bronx County, New York",4435
36005040502,"Census Tract 405.02, Bronx County, New York",7260
36005040600,"Census Tract 406, Bronx County, New York",3845
36005040701,"Census Tract 407.01, Bronx County, New York",3259
36005040702,"Census Tract 407.02, Bronx County, New York",6891
36005040800,"Census Tract 408, Bronx County, New York",4595
36005040900,"Census Tract 409, Bronx County, New York",3164
36005041100,"Census Tract 411, Bronx County, New York",3766
36005041300,"Census Tract 413, Bronx County, New York",8261
36005041400,"Census Tract 414, Bronx County, New York",5163
36005041500,"Census Tract 415, Bronx County, New York",6058
36005041800,"Census Tract 418, Bronx County, New York",3957
36005041900,"Census Tract 419, Bronx County, New York",6822
36005042000,"Census Tract 420, Bronx County, New York",3799
36005042100,"Census Tract 421, Bronx County, New York",5763
36005042200,"Census Tract 422, Bronx County, New York",3292
36005042300,"Census Tract 423, Bronx County, New York",4500
36005042400,"Census Tract 424, Bronx County, New York",2562
36005042500,"Census Tract 425, Bronx County, New York",6264
36005042600,"Census Tract 426, Bronx County, New York",6477
36005042800,"Census Tract 428, Bronx County, New York",2114
36005042901,"Census Tract 429.01, Bronx County, New York",4046
36005042902,"Census Tract 429.02, Bronx County, New York",4205
36005043000,"Census Tract 430, Bronx County, New York",3551
36005043100,"Census Tract 431, Bronx County, New York",10627
36005043400,"Census Tract 434, Bronx County, New York",3884
36005043500,"Census Tract 435, Bronx County, New York",361
36005043600,"Census Tract 436, Bronx County, New York",2042
36005044200,"Census Tract 442, Bronx County, New York",3760
36005044400,"Census Tract 444, Bronx County, New York",4177
36005044800,"Census Tract 448, Bronx County, New York",1917
36005044901,"Census Tract 449.01, Bronx County, New York",1631
36005044902,"Census Tract 449.02, Bronx County, New York",1876
36005045101,"Census Tract 451.01, Bronx County, New York",1544
36005045102,"Census Tract 451.02, Bronx County, New York",1765
36005045600,"Census Tract 456, Bronx County, New York",3344
36005045800,"Census Tract 458, Bronx County, New York",5605
36005046000,"Census Tract 460, Bronx County, New York",3190
36005046201,"Census Tract 462.01, Bronx County, New York",28272
36005046202,"Census Tract 462.02, Bronx County, New York",9915
36005048400,"Census Tract 484, Bronx County, New York",4126
36005050400,"Census Tract 504, Bronx County, New York",222
36005051600,"Census Tract 516, Bronx County, New York",4036
36047000100,"Census Tract 1, Kings County, New York",4473
36047000200,"Census Tract 2, Kings County, New York",1243
36047000301,"Census Tract 3.01, Kings County, New York",4209
36047000501,"Census Tract 5.01, Kings County, New York",4419
36047000502,"Census Tract 5.02, Kings County, New York",2570
36047000700,"Census Tract 7, Kings County, New York",4010
36047000900,"Census Tract 9, Kings County, New York",4487
36047001100,"Census Tract 11, Kings County, New York",1359
36047001300,"Census Tract 13, Kings County, New York",2217
36047001500,"Census Tract 15, Kings County, New York",8088
36047001800,"Census Tract 18, Kings County, New York",1959
36047002000,"Census Tract 20, Kings County, New York",1396
36047002100,"Census Tract 21, Kings County, New York",5143
36047002200,"Census Tract 22, Kings County, New York",4812
36047002300,"Census Tract 23, Kings County, New York",4352
36047002901,"Census Tract 29.01, Kings County, New York",4533
36047003000,"Census Tract 30, Kings County, New York",1635
36047003100,"Census Tract 31, Kings County, New York",3033
36047003300,"Census Tract 33, Kings County, New York",3705
36047003400,"Census Tract 34, Kings County, New York",3056
36047003500,"Census Tract 35, Kings County, New York",1892
36047003600,"Census Tract 36, Kings County, New York",3775
36047003700,"Census Tract 37, Kings County, New York",1681
36047003800,"Census Tract 38, Kings County, New York",1436
36047003900,"Census Tract 39, Kings County, New York",2364
36047004100,"Census Tract 41, Kings County, New York",3642
36047004300,"Census Tract 43, Kings County, New York",3496
36047004400,"Census Tract 44, Kings County, New York",2511
36047004500,"Census Tract 45, Kings County, New York",3546
36047004600,"Census Tract 46, Kings County, New York",1306
36047004700,"Census Tract 47, Kings County, New York",1903
36047004900,"Census Tract 49, Kings County, New York",2718
36047005000,"Census Tract 50, Kings County, New York",2320
36047005100,"Census Tract 51, Kings County, New York",2791
36047005201,"Census Tract 52.01, Kings County, New York",1666
36047005202,"Census Tract 52.02, Kings County, New York",2299
36047005300,"Census Tract 53, Kings County, New York",2245
36047005400,"Census Tract 54, Kings County, New York",3177
36047005601,"Census Tract 56.01, Kings County, New York",2462
36047005602,"Census Tract 56.02, Kings County, New York",1606
36047005800,"Census Tract 58, Kings County, New York",3092
36047005900,"Census Tract 59, Kings County, New York",1253
36047006000,"Census Tract 60, Kings County, New York",3054
36047006200,"Census Tract 62, Kings County, New York",2700
36047006300,"Census Tract 63, Kings County, New York",1922
36047006400,"Census Tract 64, Kings County, New York",3062
36047006500,"Census Tract 65, Kings County, New York",5842
36047006600,"Census Tract 66, Kings County, New York",3645
36047006700,"Census Tract 67, Kings County, New York",3894
36047006800,"Census Tract 68, Kings County, New York",4932
36047006900,"Census Tract 69, Kings County, New York",3575
36047007000,"Census Tract 70, Kings County, New York",2629
36047007100,"Census Tract 71, Kings County, New York",4890
36047007200,"Census Tract 72, Kings County, New York",1890
36047007400,"Census Tract 74, Kings County, New York",5280
36047007500,"Census Tract 75, Kings County, New York",4925
36047007600,"Census Tract 76, Kings County, New York",5146
36047007700,"Census Tract 77, Kings County, New York",5172
36047007800,"Census Tract 78, Kings County, New York",5240
36047008000,"Census Tract 80, Kings County, New York",3746
36047008200,"Census Tract 82, Kings County, New York",3942
36047008400,"Census Tract 84, Kings County, New York",3879
